ts,"Ithaca, NY, United States Heating Degree Days","Ithaca, NY, United States Cooling Degree Days"
2024-04-01T00:00:00-04:00 New_York,24.541666666666664,0
2024-04-02T00:00:00-04:00 New_York,21.5,0
2024-04-03T00:00:00-04:00 New_York,24.125,0
2024-04-04T00:00:00-04:00 New_York,30.333333333333336,0
2024-04-05T00:00:00-04:00 New_York,30.208333333333336,0
2024-04-06T00:00:00-04:00 New_York,28.083333333333336,0
2024-04-07T00:00:00-04:00 New_York,28.333333333333336,0
2024-04-08T00:00:00-04:00 New_York,21.75,0
2024-04-09T00:00:00-04:00 New_York,12.083333333333336,0
2024-04-10T00:00:00-04:00 New_York,11.25,0
2024-04-11T00:00:00-04:00 New_York,9.125,0
2024-04-12T00:00:00-04:00 New_York,14.041666666666664,0
2024-04-13T00:00:00-04:00 New_York,26.5,0
2024-04-14T00:00:00-04:00 New_York,17.583333333333336,0
2024-04-15T00:00:00-04:00 New_York,19.166666666666664,0
2024-04-16T00:00:00-04:00 New_York,20.583333333333336,0
2024-04-17T00:00:00-04:00 New_York,20.708333333333336,0
2024-04-18T00:00:00-04:00 New_York,15.666666666666664,0
2024-04-19T00:00:00-04:00 New_York,16.625,0
2024-04-20T00:00:00-04:00 New_York,23.916666666666664,0
2024-04-21T00:00:00-04:00 New_York,25.416666666666664,0
2024-04-22T00:00:00-04:00 New_York,26.75,0
2024-04-23T00:00:00-04:00 New_York,20,0
2024-04-24T00:00:00-04:00 New_York,24.875,0
2024-04-25T00:00:00-04:00 New_York,29.875,0
2024-04-26T00:00:00-04:00 New_York,24.416666666666664,0
2024-04-27T00:00:00-04:00 New_York,19.041666666666664,0
2024-04-28T00:00:00-04:00 New_York,5.75,0
2024-04-29T00:00:00-04:00 New_York,2.375,0
2024-04-30T00:00:00-04:00 New_York,2.8333333333333357,0
2024-05-01T00:00:00-04:00 New_York,8.208333333333336,0
2024-05-02T00:00:00-04:00 New_York,10.708333333333336,0
2024-05-03T00:00:00-04:00 New_York,8.291666666666664,0
2024-05-04T00:00:00-04:00 New_York,14.125,0
2024-05-05T00:00:00-04:00 New_York,14.916666666666664,0
2024-05-06T00:00:00-04:00 New_York,8.875,0
2024-05-07T00:00:00-04:00 New_York,8.875,0
2024-05-08T00:00:00-04:00 New_York,2.0833333333333357,0
2024-05-09T00:00:00-04:00 New_York,14.375,0
2024-05-10T00:00:00-04:00 New_York,18.5,0
2024-05-11T00:00:00-04:00 New_York,18.25,0
2024-05-12T00:00:00-04:00 New_York,17.166666666666664,0
2024-05-13T00:00:00-04:00 New_York,13.166666666666664,0
2024-05-14T00:00:00-04:00 New_York,8.666666666666664,0
2024-05-15T00:00:00-04:00 New_York,7.75,0
2024-05-16T00:00:00-04:00 New_York,4.875,0
